Wallet, Votes
0x60859ed309e5553b39bd66edf1a3c26473da3b6b,32
0x9e89a144f7c05eb0d258b61a71d00bca79e42715,32
0x27aa5a880b512beaf40d1b2e0f256b09f5711444,10
0x42b81011a367d3c7f4e4b570fadd51209c93f287,32
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,32
0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,27
0x27b503fd677dd889ea3e7804df492d2d809e6052,31
0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,32
0xaba775acf88723e05db5546bae58f10c20a9f061,31
0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,20
0x01175ef4738b825cd12f4d1ff2d2904d52144531,31
0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,28
0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,32
0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,28
0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,32
0xfa860889ee6e3c715a5b76d998223df040b167da,32
0x9672c0e1639f159334ca1288d4a24deb02117291,32
0xd8015579d04d3205c8a35244c7ce64b0bd6de822,9
0x20669775d663d9a461ef2b2efca8fe43954f4b13,28
0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,32
0x77bbfa1e9088b6763fdf18d4655421e81afaacee,11
0x103af2b33400a4f955744a7f70e749435444f808,27
0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,32
0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,27
0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,32
0x043aee850680c4fb982761b585929834c26cc32c,25
0x615b95fefd5307964de2e38d544bb835c5b79717,23
0xcea9f52fb205846b0c2956ab347e078b564277f0,11
0x1534f20bf35904a10a1ad4c06641515d1c5d60ba,24
0x172697d24da16f36caf2fadc3e78b5a538fc858e,27
0x10ea167893cb51500ec829222e3d17a968feb650,32
0x597f0fdbb96485cd258777248052ff0e4781fe4c,28
0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b,28
0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,24
0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,16
0xc1c2d0860a213c630c7e285eb5b8b1ebdfa205b1,5
